PLATINUM_PRICE_price,CRUDE_OIL_PRICE_timestamp,VALOR_CONTRA_YEN_time_difference,CORN_PRICE_time_difference,VALOR_CONTRA_LIBRA_timestamp,CRUDE_OIL_PRICE_open,CORN_PRICE_open,CRUDE_OIL_PRICE_price,CRUDE_OIL_PRICE_change,high,CRUDE_OIL_PRICE_volume,ind,open,CORN_PRICE_high,COCACOLA_PRICE_open,CRUDE_OIL_PRICE_high,PLATINUM_PRICE_low,TIN_PRICE_open,TIN_PRICE_change,PLATINUM_PRICE_change,count_agg,low,PLATINUM_PRICE_volume,VALOR_CONTRA_YEN_nivel,COCACOLA_PRICE_price,change,VALOR_CONTRA_EURO_time_difference,TIN_PRICE_time_difference,CORN_PRICE_low,timestamp,price,VALOR_CONTRA_LIBRA_nivel,TIN_PRICE_low,CORN_PRICE_price,volume,VALOR_CONTRA_LIBRA_time_difference,PLATINUM_PRICE_high,VALOR_CONTRA_YEN_timestamp,TIN_PRICE_timestamp,TIN_PRICE_high,CORN_PRICE_volume,COCACOLA_PRICE_volume,CORN_PRICE_change,COCACOLA_PRICE_high,COCACOLA_PRICE_timestamp,VALOR_CONTRA_EURO_timestamp,CRUDE_OIL_PRICE_low,COCACOLA_PRICE_low,VALOR_CONTRA_EURO_nivel,PLATINUM_PRICE_open,COCACOLA_PRICE_change,CORN_PRICE_timestamp,TIN_PRICE_price,PLATINUM_PRICE_timestamp,TIN_PRICE_volume,PLATINUM_PRICE_time_difference,CRUDE_OIL_PRICE_time_difference,COCACOLA_PRICE_time_difference
899.7,1583773200,17,17,1583773200,32.52,371.38,32.42,-0.31%,24679.85,-,68,24582.34,375.38,51.91,34.87,896.0,16622.5,-0.21%,-0.51%,1,23706.78,-,0.2064,51.86,-7.8100000000000005,17,17,366.88,1583712000,23844.73,27.6584,16442.5,374.62,710.74,17,915.85,1583773200,1583773200,16787.5,-,27.90M,1.14%,53.57,1583773200,1583773200,27.34,51.48,24.1233,904.1,-6.15%,1583773200,16767.5,1583686800,-,7,17,17
899.7,1583514000,41,41,1583773200,46.09,371.38,41.28,-10.07%,25177.8675,-,67,25104.735,375.38,51.91,46.38,896.0,17045.0,-1.51%,-0.51%,0,24265.9175,-,0.2064,51.86,-6.7525,41,31,366.88,1583625600,24413.8675,27.6584,16747.5,374.62,652.3975,41,915.85,1583773200,1583514000,17047.5,-,27.90M,1.14%,53.57,1583773200,1583773200,41.05,51.48,24.1233,904.1,-6.15%,1583773200,16802.5,1583686800,-,17,31,41
872.95,1583514000,31,31,1583427600,46.09,387.5,41.28,-10.07%,25675.885,-,66,25627.13,387.5,57.77,46.38,856.65,17045.0,-1.51%,-0.31%,0,24825.055,-,0.18530000000000002,56.74,-5.695,31,7,382.0,1583539200,24983.005,25.5978,16747.5,384.5,594.055,31,875.9,1583427600,1583514000,17047.5,1.83K,17.95M,-0.65%,58.16,1583427600,1583427600,41.05,56.19,22.151,875.7,-3.70%,1583427600,16802.5,1583427600,-,31,7,31
872.95,1583514000,7,7,1583427600,46.09,387.5,41.28,-10.07%,26173.9025,-,65,26149.525,387.5,57.77,46.38,856.65,17045.0,-1.51%,-0.31%,0,25384.1925,-,0.18530000000000002,56.74,-4.6375,7,17,382.0,1583452800,25552.1425,25.5978,16747.5,384.5,535.7125,7,875.9,1583427600,1583514000,17047.5,1.83K,17.95M,-0.65%,58.16,1583427600,1583427600,41.05,56.19,22.151,875.7,-3.70%,1583427600,16802.5,1583427600,-,7,17,7
875.7,1583341200,7,7,1583341200,46.94,382.0,46.78,-0.85%,26671.92,745.86K,64,26671.92,388.5,56.55,48.41,866.7,16652.5,1.25%,-0.29%,1,25943.33,-,0.1817,58.92,-3.58,7,7,380.0,1583366400,26121.28,24.996,16652.5,387.0,477.37,7,889.35,1583341200,1583341200,17140.0,3.28K,20.53M,1.38%,58.98,1583341200,1583341200,46.65,56.5,21.7769,877.95,5.10%,1583341200,16952.5,1583341200,-,7,7,7
878.25,1583254800,7,7,1583254800,47.72,375.75,47.18,0.92%,27097.4,1.01M,63,26383.68,383.75,56.77,48.66,859.5,16590.0,0.66%,1.09%,1,26286.79,-,0.1786,56.06,4.54,7,7,375.75,1583280000,27090.42,24.6552,16590.0,381.75,423.85,7,882.85,1583254800,1583254800,16972.5,3.19K,27.10M,1.87%,57.46,1583254800,1583254800,46.47,55.65,21.4338,868.7,0.25%,1583254800,16742.5,1583254800,-,7,7,7
868.8,1583168400,7,7,1583168400,43.7,366.5,46.75,4.45%,27084.59,918.58K,62,26762.47,375.75,53.9,47.56,851.25,16260.0,2.46%,1.86%,1,25706.28,-,0.1831,55.92,-2.9699999999999998,7,7,366.0,1583193600,25914.15,25.1826,16247.5,374.75,611.92,7,885.2,1583168400,1583168400,16715.0,5.93K,25.70M,2.25%,55.94,1583168400,1583168400,43.32,53.73,21.9028,852.85,4.54%,1583168400,16632.5,1583168400,-,7,7,7
852.95,1583082000,17,17,1583168400,43.83,366.5,44.61,-0.34%,26706.17,-,61,25590.81,375.75,53.9,44.7,851.2,16260.0,2.46%,-1.55%,1,25395.93,-,0.1831,55.92,5.1,17,17,366.0,1583107200,26706.17,25.1826,16247.5,374.75,596.93,17,866.3,1583168400,1583168400,16715.0,5.93K,25.70M,2.25%,55.94,1583168400,1583168400,43.48,53.73,21.9028,866.3,4.54%,1583168400,16632.5,1583082000,-,7,7,17
852.95,1583082000,31,31,1582909200,43.83,364.5,44.61,-0.34%,26302.1933333333,-,60,25484.15,367.25,53.83,44.7,851.2,16317.5,-0.78%,-1.55%,0,25157.6233333333,-,0.1819,53.49,2.9366666667,31,31,362.75,1583020800,26273.9,25.4754,16045.0,366.5,705.5133333333,31,866.3,1582909200,1582909200,16452.5,-,40.89M,0.55%,53.89,1582909200,1582909200,43.48,51.61,21.7368,866.3,-2.62%,1582909200,16232.5,1583082000,-,17,17,31
866.35,1582909200,7,7,1582909200,46.49,364.5,44.76,-4.95%,25898.2166666667,-,59,25377.49,367.25,53.83,47.03,847.85,16317.5,-0.78%,-4.13%,0,24919.3166666667,-,0.1819,53.49,0.7733333333,7,7,362.75,1582934400,25841.63,25.4754,16045.0,366.5,814.0966666667,7,903.9,1582909200,1582909200,16452.5,-,40.89M,0.55%,53.89,1582909200,1582909200,43.85,51.61,21.7368,903.45,-2.62%,1582909200,16232.5,1582909200,-,7,7,7
903.65,1582822800,7,7,1582822800,48.63,369.75,47.09,-3.37%,25494.24,-,58,25270.83,370.0,57.45,48.78,898.6,16655.0,-1.82%,-0.85%,1,24681.01,-,0.1764,54.93,-1.3900000000000001,7,7,361.75,1582848000,25409.36,24.9614,16210.0,364.5,922.68,7,924.8,1582822800,1582822800,16682.5,151.51K,23.75M,-1.62%,57.88,1582822800,1582822800,45.88,54.9,21.2294,911.45,-4.64%,1582822800,16360.0,1582822800,-,7,7,7
