dates,deaths_US,deaths_China,deaths_India,deaths_Canada,deaths_Korea,deaths_Italy,deaths_France,deaths_Germany,deaths_Spain,deaths_Australia,timestamp
22-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579669200.0
23-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579755600.0
24-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579842000.0
25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579928400.0
26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580014800.0
27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580101200.0
28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580187600.0
29-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580274000.0
30-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580360400.0
31-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580446800.0
01-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580533200.0
02-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580619600.0
03-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580706000.0
04-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580792400.0
05-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580878800.0
06-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580965200.0
07-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581051600.0
08-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581138000.0
09-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581224400.0
10-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581310800.0
11-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581397200.0
12-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581483600.0
13-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581570000.0
14-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581656400.0
15-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1581742800.0
16-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581829200.0
17-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581915600.0
18-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582002000.0
19-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582088400.0
20-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582174800.0
21-02-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1582261200.0
22-02-2020,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1582347600.0
23-02-2020,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1582434000.0
24-02-2020,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1582520400.0
25-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582606800.0
26-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582693200.0
27-02-2020,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1582779600.0
28-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1582866000.0
